SKU,日期,预测值,类型
CHUCHU_01,2024-01,4686,历史
CHUCHU_01,2024-02,5229,历史
CHUCHU_01,2024-03,5786,历史
CHUCHU_01,2024-04,5905,历史
CHUCHU_01,2024-05,5751,历史
CHUCHU_01,2024-06,4996,历史
CHUCHU_01,2024-07,4579,历史
CHUCHU_01,2024-08,4063,历史
CHUCHU_01,2024-09,3383,历史
CHUCHU_01,2024-10,3515,历史
CHUCHU_01,2024-11,3229,历史
CHUCHU_01,2024-12,4155,历史
CHUCHU_01,2025-01,4855,历史
CHUCHU_01,2025-02,4890,历史
CHUCHU_01,2025-03,5844,历史
CHUCHU_01,2025-04,6064,历史
CHUCHU_01,2025-05,6042,历史
CHUCHU_01,2025-06,5345,历史
CHUCHU_01,2025-07,4750,历史
CHUCHU_01,2025-08,3939,历史
CHUCHU_01,2025-09,3565,历史
CHUCHU_01,2025-10,3393,历史
CHUCHU_01,2025-11,3561,历史
CHUCHU_01,2025-12,4111,历史
CHUCHU_02,2024-01,2992,历史
CHUCHU_02,2024-02,3405,历史
CHUCHU_02,2024-03,3668,历史
CHUCHU_02,2024-04,3923,历史
CHUCHU_02,2024-05,3992,历史
CHUCHU_02,2024-06,3369,历史
CHUCHU_02,2024-07,3155,历史
CHUCHU_02,2024-08,2688,历史
CHUCHU_02,2024-09,2126,历史
CHUCHU_02,2024-10,2253,历史
CHUCHU_02,2024-11,2325,历史
CHUCHU_02,2024-12,2847,历史
CHUCHU_02,2025-01,3115,历史
CHUCHU_02,2025-02,3143,历史
CHUCHU_02,2025-03,4022,历史
CHUCHU_02,2025-04,3955,历史
CHUCHU_02,2025-05,3821,历史
CHUCHU_02,2025-06,3650,历史
CHUCHU_02,2025-07,3091,历史
CHUCHU_02,2025-08,2882,历史
CHUCHU_02,2025-09,2221,历史
CHUCHU_02,2025-10,2382,历史
CHUCHU_02,2025-11,2239,历史
CHUCHU_02,2025-12,2741,历史
CHUCHU_03,2024-01,6828,历史
CHUCHU_03,2024-02,7233,历史
CHUCHU_03,2024-03,8908,历史
CHUCHU_03,2024-04,9097,历史
CHUCHU_03,2024-05,9162,历史
CHUCHU_03,2024-06,7719,历史
CHUCHU_03,2024-07,7161,历史
CHUCHU_03,2024-08,6122,历史
CHUCHU_03,2024-09,4862,历史
CHUCHU_03,2024-10,4808,历史
CHUCHU_03,2024-11,4893,历史
CHUCHU_03,2024-12,6093,历史
CHUCHU_03,2025-01,7059,历史
CHUCHU_03,2025-02,7248,历史
CHUCHU_03,2025-03,9392,历史
CHUCHU_03,2025-04,9053,历史
CHUCHU_03,2025-05,8906,历史
CHUCHU_03,2025-06,8170,历史
CHUCHU_03,2025-07,6827,历史
CHUCHU_03,2025-08,6413,历史
CHUCHU_03,2025-09,4856,历史
CHUCHU_03,2025-10,5192,历史
CHUCHU_03,2025-11,5274,历史
CHUCHU_03,2025-12,6173,历史
CHUCHU_01,2026-01,3304,未来
CHUCHU_01,2026-02,4483,未来
CHUCHU_01,2026-03,4698,未来
CHUCHU_01,2026-04,4865,未来
CHUCHU_01,2026-05,4837,未来
CHUCHU_01,2026-06,3839,未来
CHUCHU_02,2026-01,2302,未来
CHUCHU_02,2026-02,2388,未来
CHUCHU_02,2026-03,3073,未来
CHUCHU_02,2026-04,2988,未来
CHUCHU_02,2026-05,2731,未来
CHUCHU_02,2026-06,2398,未来
CHUCHU_03,2026-01,4864,未来
CHUCHU_03,2026-02,5358,未来
CHUCHU_03,2026-03,6290,未来
CHUCHU_03,2026-04,6283,未来
CHUCHU_03,2026-05,6490,未来
CHUCHU_03,2026-06,5510,未来
