SKU,日期,销量,渠道
SKU001,2024-01-01,116,亚马逊
SKU001,2024-01-01,48,独立站
SKU002,2024-01-01,62,亚马逊
SKU002,2024-01-01,26,独立站
SKU003,2024-01-01,148,亚马逊
SKU003,2024-01-01,84,独立站
SKU001,2024-01-02,122,亚马逊
SKU001,2024-01-02,43,独立站
SKU002,2024-01-02,63,亚马逊
SKU002,2024-01-02,29,独立站
SKU003,2024-01-02,145,亚马逊
SKU003,2024-01-02,59,独立站
SKU001,2024-01-03,90,亚马逊
SKU001,2024-01-03,39,独立站
SKU002,2024-01-03,70,亚马逊
SKU002,2024-01-03,33,独立站
SKU003,2024-01-03,158,亚马逊
SKU003,2024-01-03,57,独立站
SKU001,2024-01-04,96,亚马逊
SKU001,2024-01-04,35,独立站
SKU002,2024-01-04,70,亚马逊
SKU002,2024-01-04,27,独立站
SKU003,2024-01-04,133,亚马逊
SKU003,2024-01-04,64,独立站
SKU001,2024-01-05,105,亚马逊
SKU001,2024-01-05,48,独立站
SKU002,2024-01-05,63,亚马逊
SKU002,2024-01-05,24,独立站
SKU003,2024-01-05,142,亚马逊
SKU003,2024-01-05,63,独立站
SKU001,2024-01-06,91,亚马逊
SKU001,2024-01-06,43,独立站
SKU002,2024-01-06,67,亚马逊
SKU002,2024-01-06,25,独立站
SKU003,2024-01-06,136,亚马逊
SKU003,2024-01-06,63,独立站
SKU001,2024-01-07,94,亚马逊
SKU001,2024-01-07,52,独立站
SKU002,2024-01-07,73,亚马逊
SKU002,2024-01-07,26,独立站
SKU003,2024-01-07,180,亚马逊
SKU003,2024-01-07,62,独立站
SKU001,2024-01-08,107,亚马逊
SKU001,2024-01-08,42,独立站
SKU002,2024-01-08,67,亚马逊
SKU002,2024-01-08,26,独立站
SKU003,2024-01-08,157,亚马逊
SKU003,2024-01-08,67,独立站
SKU001,2024-01-09,125,亚马逊
SKU001,2024-01-09,47,独立站
SKU002,2024-01-09,68,亚马逊
SKU002,2024-01-09,35,独立站
SKU003,2024-01-09,171,亚马逊
SKU003,2024-01-09,67,独立站
SKU001,2024-01-10,119,亚马逊
SKU001,2024-01-10,49,独立站
SKU002,2024-01-10,66,亚马逊
SKU002,2024-01-10,30,独立站
SKU003,2024-01-10,168,亚马逊
SKU003,2024-01-10,59,独立站
SKU001,2024-01-11,108,亚马逊
SKU001,2024-01-11,44,独立站
SKU002,2024-01-11,62,亚马逊
SKU002,2024-01-11,25,独立站
SKU003,2024-01-11,180,亚马逊
SKU003,2024-01-11,64,独立站
SKU001,2024-01-12,120,亚马逊
SKU001,2024-01-12,46,独立站
SKU002,2024-01-12,60,亚马逊
SKU002,2024-01-12,27,独立站
SKU003,2024-01-12,164,亚马逊
SKU003,2024-01-12,71,独立站
SKU001,2024-01-13,102,亚马逊
SKU001,2024-01-13,41,独立站
SKU002,2024-01-13,60,亚马逊
SKU002,2024-01-13,27,独立站
SKU003,2024-01-13,152,亚马逊
SKU003,2024-01-13,69,独立站
SKU001,2024-01-14,104,亚马逊
SKU001,2024-01-14,53,独立站
SKU002,2024-01-14,55,亚马逊
SKU002,2024-01-14,21,独立站
SKU003,2024-01-14,159,亚马逊
SKU003,2024-01-14,66,独立站
SKU001,2024-01-15,92,亚马逊
SKU001,2024-01-15,44,独立站
SKU002,2024-01-15,81,亚马逊
SKU002,2024-01-15,28,独立站
SKU003,2024-01-15,154,亚马逊
SKU003,2024-01-15,76,独立站
SKU001,2024-01-16,106,亚马逊
SKU001,2024-01-16,49,独立站
SKU002,2024-01-16,64,亚马逊
SKU002,2024-01-16,34,独立站
SKU003,2024-01-16,171,亚马逊
SKU003,2024-01-16,70,独立站
SKU001,2024-01-17,111,亚马逊
SKU001,2024-01-17,38,独立站
SKU002,2024-01-17,67,亚马逊
SKU002,2024-01-17,26,独立站
SKU003,2024-01-17,149,亚马逊
SKU003,2024-01-17,58,独立站
SKU001,2024-01-18,123,亚马逊
SKU001,2024-01-18,41,独立站
SKU002,2024-01-18,74,亚马逊
SKU002,2024-01-18,31,独立站
SKU003,2024-01-18,139,亚马逊
SKU003,2024-01-18,67,独立站
SKU001,2024-01-19,108,亚马逊
SKU001,2024-01-19,42,独立站
SKU002,2024-01-19,67,亚马逊
SKU002,2024-01-19,36,独立站
SKU003,2024-01-19,149,亚马逊
SKU003,2024-01-19,64,独立站
SKU001,2024-01-20,118,亚马逊
SKU001,2024-01-20,53,独立站
SKU002,2024-01-20,74,亚马逊
SKU002,2024-01-20,26,独立站
SKU003,2024-01-20,142,亚马逊
SKU003,2024-01-20,75,独立站
SKU001,2024-01-21,91,亚马逊
SKU001,2024-01-21,41,独立站
SKU002,2024-01-21,66,亚马逊
SKU002,2024-01-21,29,独立站
SKU003,2024-01-21,148,亚马逊
SKU003,2024-01-21,54,独立站
SKU001,2024-01-22,104,亚马逊
SKU001,2024-01-22,50,独立站
SKU002,2024-01-22,79,亚马逊
SKU002,2024-01-22,33,独立站
SKU003,2024-01-22,140,亚马逊
SKU003,2024-01-22,65,独立站
SKU001,2024-01-23,111,亚马逊
SKU001,2024-01-23,40,独立站
SKU002,2024-01-23,72,亚马逊
SKU002,2024-01-23,28,独立站
SKU003,2024-01-23,158,亚马逊
SKU003,2024-01-23,66,独立站
SKU001,2024-01-24,106,亚马逊
SKU001,2024-01-24,53,独立站
SKU002,2024-01-24,72,亚马逊
SKU002,2024-01-24,31,独立站
SKU003,2024-01-24,180,亚马逊
SKU003,2024-01-24,66,独立站
SKU001,2024-01-25,124,亚马逊
SKU001,2024-01-25,51,独立站
SKU002,2024-01-25,65,亚马逊
SKU002,2024-01-25,28,独立站
SKU003,2024-01-25,133,亚马逊
SKU003,2024-01-25,64,独立站
SKU001,2024-01-26,126,亚马逊
SKU001,2024-01-26,50,独立站
SKU002,2024-01-26,67,亚马逊
SKU002,2024-01-26,32,独立站
SKU003,2024-01-26,139,亚马逊
SKU003,2024-01-26,67,独立站
SKU001,2024-01-27,114,亚马逊
SKU001,2024-01-27,49,独立站
SKU002,2024-01-27,69,亚马逊
SKU002,2024-01-27,29,独立站
SKU003,2024-01-27,177,亚马逊
SKU003,2024-01-27,77,独立站
SKU001,2024-01-28,109,亚马逊
SKU001,2024-01-28,46,独立站
SKU002,2024-01-28,77,亚马逊
SKU002,2024-01-28,33,独立站
SKU003,2024-01-28,187,亚马逊
SKU003,2024-01-28,68,独立站
SKU001,2024-01-29,101,亚马逊
SKU001,2024-01-29,36,独立站
SKU002,2024-01-29,67,亚马逊
SKU002,2024-01-29,29,独立站
SKU003,2024-01-29,139,亚马逊
SKU003,2024-01-29,59,独立站
SKU001,2024-01-30,100,亚马逊
SKU001,2024-01-30,37,独立站
SKU002,2024-01-30,75,亚马逊
SKU002,2024-01-30,27,独立站
SKU003,2024-01-30,145,亚马逊
SKU003,2024-01-30,52,独立站
SKU001,2024-01-31,106,亚马逊
SKU001,2024-01-31,47,独立站
SKU002,2024-01-31,71,亚马逊
SKU002,2024-01-31,32,独立站
SKU003,2024-01-31,140,亚马逊
SKU003,2024-01-31,51,独立站
SKU001,2024-02-01,120,亚马逊
SKU001,2024-02-01,45,独立站
SKU002,2024-02-01,81,亚马逊
SKU002,2024-02-01,32,独立站
SKU003,2024-02-01,169,亚马逊
SKU003,2024-02-01,74,独立站
SKU001,2024-02-02,142,亚马逊
SKU001,2024-02-02,54,独立站
SKU002,2024-02-02,93,亚马逊
SKU002,2024-02-02,37,独立站
SKU003,2024-02-02,199,亚马逊
SKU003,2024-02-02,80,独立站
SKU001,2024-02-03,124,亚马逊
SKU001,2024-02-03,60,独立站
SKU002,2024-02-03,82,亚马逊
SKU002,2024-02-03,31,独立站
SKU003,2024-02-03,187,亚马逊
SKU003,2024-02-03,79,独立站
SKU001,2024-02-04,115,亚马逊
SKU001,2024-02-04,52,独立站
SKU002,2024-02-04,76,亚马逊
SKU002,2024-02-04,27,独立站
SKU003,2024-02-04,196,亚马逊
SKU003,2024-02-04,92,独立站
SKU001,2024-02-05,114,亚马逊
SKU001,2024-02-05,42,独立站
SKU002,2024-02-05,70,亚马逊
SKU002,2024-02-05,36,独立站
SKU003,2024-02-05,193,亚马逊
SKU003,2024-02-05,74,独立站
SKU001,2024-02-06,132,亚马逊
SKU001,2024-02-06,58,独立站
SKU002,2024-02-06,83,亚马逊
SKU002,2024-02-06,30,独立站
SKU003,2024-02-06,157,亚马逊
SKU003,2024-02-06,73,独立站
SKU001,2024-02-07,128,亚马逊
SKU001,2024-02-07,42,独立站
SKU002,2024-02-07,68,亚马逊
SKU002,2024-02-07,34,独立站
SKU003,2024-02-07,195,亚马逊
SKU003,2024-02-07,89,独立站
SKU001,2024-02-08,119,亚马逊
SKU001,2024-02-08,49,独立站
SKU002,2024-02-08,90,亚马逊
SKU002,2024-02-08,39,独立站
SKU003,2024-02-08,170,亚马逊
SKU003,2024-02-08,82,独立站
SKU001,2024-02-09,116,亚马逊
SKU001,2024-02-09,59,独立站
SKU002,2024-02-09,85,亚马逊
SKU002,2024-02-09,36,独立站
SKU003,2024-02-09,168,亚马逊
SKU003,2024-02-09,92,独立站
SKU001,2024-02-10,125,亚马逊
SKU001,2024-02-10,63,独立站
SKU002,2024-02-10,77,亚马逊
SKU002,2024-02-10,29,独立站
SKU003,2024-02-10,206,亚马逊
SKU003,2024-02-10,79,独立站
SKU001,2024-02-11,125,亚马逊
SKU001,2024-02-11,50,独立站
SKU002,2024-02-11,78,亚马逊
SKU002,2024-02-11,34,独立站
SKU003,2024-02-11,177,亚马逊
SKU003,2024-02-11,75,独立站
SKU001,2024-02-12,105,亚马逊
SKU001,2024-02-12,52,独立站
SKU002,2024-02-12,74,亚马逊
SKU002,2024-02-12,36,独立站
SKU003,2024-02-12,150,亚马逊
SKU003,2024-02-12,77,独立站
SKU001,2024-02-13,122,亚马逊
SKU001,2024-02-13,44,独立站
SKU002,2024-02-13,71,亚马逊
SKU002,2024-02-13,38,独立站
SKU003,2024-02-13,182,亚马逊
SKU003,2024-02-13,64,独立站
SKU001,2024-02-14,119,亚马逊
SKU001,2024-02-14,53,独立站
SKU002,2024-02-14,83,亚马逊
SKU002,2024-02-14,33,独立站
SKU003,2024-02-14,183,亚马逊
SKU003,2024-02-14,73,独立站
SKU001,2024-02-15,116,亚马逊
SKU001,2024-02-15,57,独立站
SKU002,2024-02-15,68,亚马逊
SKU002,2024-02-15,34,独立站
SKU003,2024-02-15,143,亚马逊
SKU003,2024-02-15,62,独立站
SKU001,2024-02-16,133,亚马逊
SKU001,2024-02-16,54,独立站
SKU002,2024-02-16,86,亚马逊
SKU002,2024-02-16,31,独立站
SKU003,2024-02-16,171,亚马逊
SKU003,2024-02-16,91,独立站
SKU001,2024-02-17,100,亚马逊
SKU001,2024-02-17,57,独立站
SKU002,2024-02-17,71,亚马逊
SKU002,2024-02-17,35,独立站
SKU003,2024-02-17,203,亚马逊
SKU003,2024-02-17,77,独立站
SKU001,2024-02-18,131,亚马逊
SKU001,2024-02-18,59,独立站
SKU002,2024-02-18,88,亚马逊
SKU002,2024-02-18,41,独立站
SKU003,2024-02-18,191,亚马逊
SKU003,2024-02-18,79,独立站
SKU001,2024-02-19,112,亚马逊
SKU001,2024-02-19,46,独立站
SKU002,2024-02-19,87,亚马逊
SKU002,2024-02-19,37,独立站
SKU003,2024-02-19,190,亚马逊
SKU003,2024-02-19,77,独立站
SKU001,2024-02-20,136,亚马逊
SKU001,2024-02-20,49,独立站
SKU002,2024-02-20,87,亚马逊
SKU002,2024-02-20,36,独立站
SKU003,2024-02-20,182,亚马逊
SKU003,2024-02-20,76,独立站
SKU001,2024-02-21,117,亚马逊
SKU001,2024-02-21,50,独立站
SKU002,2024-02-21,100,亚马逊
SKU002,2024-02-21,33,独立站
SKU003,2024-02-21,177,亚马逊
SKU003,2024-02-21,71,独立站
SKU001,2024-02-22,117,亚马逊
SKU001,2024-02-22,48,独立站
SKU002,2024-02-22,75,亚马逊
SKU002,2024-02-22,41,独立站
SKU003,2024-02-22,192,亚马逊
SKU003,2024-02-22,86,独立站
SKU001,2024-02-23,134,亚马逊
SKU001,2024-02-23,48,独立站
SKU002,2024-02-23,85,亚马逊
SKU002,2024-02-23,33,独立站
SKU003,2024-02-23,162,亚马逊
SKU003,2024-02-23,79,独立站
SKU001,2024-02-24,95,亚马逊
SKU001,2024-02-24,48,独立站
SKU002,2024-02-24,88,亚马逊
SKU002,2024-02-24,40,独立站
SKU003,2024-02-24,195,亚马逊
SKU003,2024-02-24,84,独立站
SKU001,2024-02-25,135,亚马逊
SKU001,2024-02-25,50,独立站
SKU002,2024-02-25,89,亚马逊
SKU002,2024-02-25,32,独立站
SKU003,2024-02-25,173,亚马逊
SKU003,2024-02-25,71,独立站
SKU001,2024-02-26,125,亚马逊
SKU001,2024-02-26,54,独立站
SKU002,2024-02-26,79,亚马逊
SKU002,2024-02-26,28,独立站
SKU003,2024-02-26,190,亚马逊
SKU003,2024-02-26,87,独立站
SKU001,2024-02-27,135,亚马逊
SKU001,2024-02-27,59,独立站
SKU002,2024-02-27,69,亚马逊
SKU002,2024-02-27,34,独立站
SKU003,2024-02-27,176,亚马逊
SKU003,2024-02-27,72,独立站
SKU001,2024-02-28,95,亚马逊
SKU001,2024-02-28,41,独立站
SKU002,2024-02-28,75,亚马逊
SKU002,2024-02-28,32,独立站
SKU003,2024-02-28,165,亚马逊
SKU003,2024-02-28,74,独立站
SKU001,2024-02-29,126,亚马逊
