SKU,月份,人工预测量,类型
SKU001,2024-01,5628,历史
SKU001,2024-02,5764,历史
SKU001,2024-03,6453,历史
SKU001,2024-04,5879,历史
SKU001,2024-05,6541,历史
SKU001,2024-06,5274,历史
SKU001,2024-07,5480,历史
SKU001,2024-08,3606,历史
SKU001,2024-09,3950,历史
SKU001,2024-10,4163,历史
SKU001,2024-11,3055,历史
SKU001,2024-12,4643,历史
SKU001,2025-01,4584,历史
SKU001,2025-02,4890,历史
SKU001,2025-03,6264,历史
SKU001,2025-04,7592,历史
SKU001,2025-05,6338,历史
SKU001,2025-06,5552,历史
SKU001,2025-07,4655,历史
SKU001,2025-08,4241,历史
SKU001,2025-09,3334,历史
SKU001,2025-10,3585,历史
SKU001,2025-11,3040,历史
SKU001,2025-12,4892,历史
SKU002,2024-01,2773,历史
SKU002,2024-02,3148,历史
SKU002,2024-03,4417,历史
SKU002,2024-04,3950,历史
SKU002,2024-05,3364,历史
SKU002,2024-06,4422,历史
SKU002,2024-07,3188,历史
SKU002,2024-08,2949,历史
SKU002,2024-09,1918,历史
SKU002,2024-10,2255,历史
SKU002,2024-11,2170,历史
SKU002,2024-12,2856,历史
SKU002,2025-01,2820,历史
SKU002,2025-02,3609,历史
SKU002,2025-03,4798,历史
SKU002,2025-04,4031,历史
SKU002,2025-05,3289,历史
SKU002,2025-06,3687,历史
SKU002,2025-07,3682,历史
SKU002,2025-08,2792,历史
SKU002,2025-09,2489,历史
SKU002,2025-10,2763,历史
SKU002,2025-11,2429,历史
SKU002,2025-12,2631,历史
SKU003,2024-01,6046,历史
SKU003,2024-02,7504,历史
SKU003,2024-03,8234,历史
SKU003,2024-04,8632,历史
SKU003,2024-05,10838,历史
SKU003,2024-06,7412,历史
SKU003,2024-07,7167,历史
SKU003,2024-08,6208,历史
SKU003,2024-09,5401,历史
SKU003,2024-10,5895,历史
SKU003,2024-11,4548,历史
SKU003,2024-12,6972,历史
SKU003,2025-01,6853,历史
SKU003,2025-02,9219,历史
SKU003,2025-03,8457,历史
SKU003,2025-04,7523,历史
SKU003,2025-05,9031,历史
SKU003,2025-06,9460,历史
SKU003,2025-07,6643,历史
SKU003,2025-08,7028,历史
SKU003,2025-09,6189,历史
SKU003,2025-10,5214,历史
SKU003,2025-11,5018,历史
SKU003,2025-12,7240,历史
SKU001,2026-01,4451,未来
SKU001,2026-02,4421,未来
SKU001,2026-03,4841,未来
SKU001,2026-04,5020,未来
SKU001,2026-05,4748,未来
SKU001,2026-06,4372,未来
SKU002,2026-01,2821,未来
SKU002,2026-02,3108,未来
SKU002,2026-03,3623,未来
SKU002,2026-04,3894,未来
SKU002,2026-05,3554,未来
SKU002,2026-06,2879,未来
SKU003,2026-01,5636,未来
SKU003,2026-02,7518,未来
SKU003,2026-03,7719,未来
SKU003,2026-04,8414,未来
SKU003,2026-05,8200,未来
SKU003,2026-06,7580,未来
